"sd.error","r2","waic","waic.dof","log.l","mu.coef","se.coef","CI.coef.1","CI.coef.2","t.stat","n.stars","ESS","rank"
"X.69",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.539127846542907,95.2903179551803,-194.963793356215,187.945167585503,0.00565774003185175,0,10000,77
"X.70",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.208483623881886,94.00667345382,-187.102715473653,184.550003197266,-0.00221775344475201,0,10000,575
"X.71",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.586702360555169,92.256450236582,-180.214413649749,183.080226437129,0.00635947252523408,0,10000,156
"X.72",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.233850953810293,92.0187919977026,-181.76351977262,181.177288064725,0.00254133909751969,0,9805,209
"X.73",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-2.31679359349138,91.7785850530577,-184.140005668624,179.250209887081,-0.0252432916911066,0,9947,575
"X.74",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.00766810378180727,91.5562803880786,-180.525865057455,181.113161798713,8.37528976636508e-05,0,9959,209
"X.75",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.296377947614802,90.8152309472703,-180.861137897839,181.969209029512,-0.00326352688335823,0,10000,209
"X.76",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.150185403377149,90.1022691343351,-177.313785659744,178.193791848925,0.00166683264272995,0,10000,640
"X.77",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.20484949652966,90.3393249423268,-176.684297468601,177.87285654889,0.0133369326956875,0,10000,209
"X.78",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.477517105016082,91.2436294592734,-183.793713989899,176.759907168459,-0.00523342953196772,0,10000,204
"X.79",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.554837592247894,91.4667905146704,-180.237493489738,181.736435516851,0.00606600044809599,0,10000,156
"X.80",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.44467759017033,90.7173226779852,-183.249212276536,177.033801239887,-0.015925046590037,0,9258,424
"X.81",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0441952437443304,90.6005034800858,-179.933404312936,183.295042099304,0.000487803511533958,0,9949,106
"X.82",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.86679816599166,89.4936184271557,-175.392021909203,176.229886829064,0.0208595674060398,0,9340,497
"X.83",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.429179678619733,87.6573068641778,-175.06200651247,174.586240290431,0.00489610842464889,0,10000,424
"X.84",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.0220197561359361,87.7204106894936,-173.205600400992,177.936469994551,0.00025102203652329,0,9966,575
"X.85",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.37893218547327,87.7055295188168,-175.136375642643,172.280671366546,-0.00432050507593106,0,8989,23
"X.86",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.0161029180423495,85.9363987118003,-167.37662417809,170.783529065436,-0.000187381811243369,0,10000,750
"X.87",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.348052718408669,85.634141262198,-167.801970488063,167.763688890127,-0.00406441535208472,0,10000,334
"X.88",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.939594047395387,84.5165627572457,-171.146675446871,166.15692372292,-0.0111172770962557,0,9616,502
"X.89",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.59735562518133,83.6758021751168,-170.434570614278,163.111826306623,-0.00713892917251254,0,10000,334
"X.90",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.599902892153877,84.5024059410386,-168.467005167596,166.929765533822,-0.0070992403763327,0,10000,264
"X.91",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.842368976599289,84.7365047388052,-167.840083970331,168.183966238108,-0.00994103992365315,0,10000,106
"X.92",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.811118431875681,86.2129132027436,-171.804540782244,167.235458845459,-0.00940831717364902,0,9994,264
"X.93",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.15541367378502,84.8900777044822,-169.320771324871,169.810838488079,-0.0136107034535558,0,10000,700
"X.94",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-1.61085774308195,85.2636738899215,-172.489952089067,166.364230647036,-0.0188926616645868,0,9919,424
"X.95",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.22469148827788,84.3210058650668,-168.380489828807,164.532811864204,-0.00266471546410912,0,9972,329
"X.96",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.585317028307852,82.2052735221307,-164.359087944903,160.938171179653,0.00712018831918705,0,10000,424
"X.97",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.725008564618447,81.7975327268474,-157.559602230649,164.36999481811,0.00886345272833011,0,9910,575
"X.98",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,0.192331386971706,80.6749815441183,-157.872592255179,160.64979286343,0.00238402765380896,0,9861,209
"X.99",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,-0.0235965541136597,78.1504491404865,-153.638078794895,158.621993265829,-0.000301937536804704,0,10000,575
"X.100",3.57128720990781e-05,0.999999986708807,-357.44017399255,47.3097639334369,382.152502122419,1.03446964661073,78.3292122403811,-154.260408985858,156.681014588733,0.0132066902886255,0,9110,700
